"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"15776",1345,656,4152,1345,5497,"intrinsic neuron","NOT 9B? in T3 RHS; ECM","None","None",13909,"IN04B068_T3_R",NA,0.901839017868042,0.0199561566114426,0.0732138156890869,0.00499104103073478,"LegNpT3_R","26508,25987,20310","user",0.901839017868042,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_R",NA,"IN04B068","VFB_jrcv0c68","26508,26078,20523","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22641,25014,5590","Traced",656,"acetylcholine",5321,"acetylcholine",965014077,TRUE
"15793",3030,407,2182,3030,5212,"intrinsic neuron",NA,NA,NA,15525,"IN04B031_T3_R",NA,0.8294278383255,0.0307212118059397,0.135503828525543,0.00434709899127483,"LegNpT3_R","23122,22857,5897","soma",0.8294278383255,"IR","",NA,"Roughly traced","IR",NA,"IN04B031","LegNpT3_R",NA,"IN04B031","VFB_jrcv0c6p","","secondary","04B",15525,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23122,22857,5897","Traced",407,"acetylcholine",3768,"acetylcholine",1106629601,TRUE
"158029",889,588,4377,889,5266,"intrinsic neuron","4B in T3 RHS","None",NA,21183,"IN04B078_T3_R",NA,0.956271290779114,0.0161434896290302,0.0236113853752613,0.00397384818643332,"LegNpT3_R","22027,23834,11060","user",0.956271290779114,"IR","",NA,"Roughly traced","IR",NA,"IN04B078","LegNpT3_R",NA,"IN04B078","VFB_jrcv3dxp","22037,23909,11060","secondary","04B",18857,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22916,23976,4511","Traced",588,"acetylcholine",8163,"acetylcholine",604566202,TRUE
"15809",883,603,3707,883,4590,"intrinsic neuron","20A in T3 RHS","None",NA,14744,"IN04B032_T3_R",NA,0.89220130443573,0.0317252054810524,0.0684580653905869,0.0076154125854373,"LegNpT3_R","24224,18210,12426","user",0.89220130443573,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_R",NA,"IN04B032","VFB_jrcv0c75","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23319,20131,4014","Traced",603,"acetylcholine",5133,"acetylcholine",955379894,TRUE
"15974",1892,465,3301,1892,5193,"intrinsic neuron","4B in T3 RHS","None",NA,14612,"IN04B029_T3_R",NA,0.95460045337677,0.010403330437839,0.0290113538503647,0.00598485581576824,"LegNpT3_R","21940,23595,11060","user",0.95460045337677,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_R",NA,"IN04B029","VFB_jrcv0cbq","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22837,22521,3821","Traced",465,"acetylcholine",3225,"acetylcholine",922733582,TRUE
"16187",1894,500,3688,1894,5582,"intrinsic neuron","4B in T3 RHS","None",NA,14612,"IN04B029_T3_R",NA,0.956466794013977,0.00772471446543932,0.0339106507599354,0.00189784355461597,"LegNpT3_R","21912,23592,11060","user",0.956466794013977,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_R",NA,"IN04B029","VFB_jrcv0chn","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22208,22073,2829","Traced",500,"acetylcholine",3225,"acetylcholine",953407347,TRUE
"16204",1022,381,2246,1022,3268,"intrinsic neuron","20A in T3 RHS","None",NA,16204,"IN04B076_T3_R",NA,0.910298526287079,0.0244856271892786,0.0590336546301842,0.00618221005424857,"LegNpT3_R","24325,18234,12426","user",0.903071224689484,"BR","",NA,"Roughly traced","BR",NA,"IN04B076","LegNpT3_R",NA,"IN04B076","VFB_jrcv0ci4","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23653,20366,1808","Traced",381,"acetylcholine",1527,"acetylcholine",637364941,TRUE
"16226",844,593,3797,844,4641,"intrinsic neuron","20A in T3 RHS","None",NA,14744,"IN04B032_T3_R",NA,0.90837836265564,0.0219386778771877,0.0640241503715515,0.00565880537033081,"LegNpT3_R","24253,18186,12426","user",0.90837836265564,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_R",NA,"IN04B032","VFB_jrcv0ciq","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23523,20375,4444","Traced",593,"acetylcholine",5133,"acetylcholine",909605492,TRUE
"16253",1959,398,3030,1959,4989,"intrinsic neuron",NA,NA,NA,16847,"IN04B054_T3_R",NA,0.927838742733002,0.0251979287713766,0.0436799451708794,0.0032834114972502,"LegNpT3_R","22602,21517,2282","soma",0.927838742733002,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_R",NA,"IN04B054","VFB_jrcv0cjh","","secondary","04B",NA,NA,"T3","RHS",16253,NA,NA,NA,NA,NA,"",NA,"22602,21517,2282","Traced",398,"acetylcholine",3601,"acetylcholine",747610699,TRUE
"16299",2240,652,4518,2240,6758,"intrinsic neuron","4B in T3 RHS","None",NA,14353,"IN04B044_T3_R",NA,0.934548616409302,0.00793489906936884,0.0543396100401878,0.00317686144262552,"LegNpT3_R","21989,23600,11060","user",0.934548616409302,"IR","",NA,"Roughly traced","IR",NA,"IN04B044","LegNpT3_R",NA,"IN04B044","VFB_jrcv0ckr","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23197,23461,5644","Traced",652,"acetylcholine",2807,"acetylcholine",879510603,TRUE
